feature,importance,category
dst_sup_sage_22,0.0017563362,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_23,0.00086905976,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_24,0.002588047,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_25,0.008593225,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_26,0.0017006911,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_27,0.0021405022,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_28,0.0011611735,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_29,0.0024259838,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_30,0.0013242821,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_31,0.0041080075,Supervised GraphSAGE (PRIMARY)
cos_sim_sup_sage,0.0055366214,Cosine similarity
