hub_id,betweenness,closeness,pagerank,clustering,in_degree,out_degree,weighted_in,weighted_out,sla_breach_score,inbound_breach_score,bottleneck_rank
IND577116AAA,3.1784096985993543e-06,0.07740560475214257,0.00045396592563214805,0.052367136005230776,3,1,4,3,1.5,3.0,0.43823992443324933
IND600016AAB,0.0,0.0005791034650985002,0.00012801961214218093,0.0,0,1,0,18,17.013698630136986,0.0,0.4374527707808564
IND742148AAA,0.0,0.03821306979427016,0.00022596123699742158,0.3424159009537796,1,1,9,9,9.0,8.666666666666666,0.4374212846347607
IND480661AAA,0.0,0.07734474070276429,0.0009234757355683433,0.1192830608835291,3,2,9,5,4.0,8.333333333333332,0.4373425692695214
IND786171AAA,0.0,0.05270605697081147,0.0006096000257746993,0.21835462249244772,1,1,8,6,6.0,6.638297872340425,0.43732682619647356
IND501301AAC,0.0010004044526341468,0.07614286680208904,0.00023684363975911497,0.0,1,1,1,1,1.0,1.0,0.43729534005037785
IND689503AAB,0.0010004044526341468,0.08922022173466396,0.00023684363975911497,0.0,1,1,1,1,1.0,1.0,0.43729534005037785
IND620012AAA,1.112443394509774e-05,0.00089651367929519,0.000810518400130774,0.0,2,0,2,0,0.0,1.5,0.43713790931989926
IND713148AAA,0.0,0.06428308724929109,0.0002856570450299251,0.0,1,1,3,10,10.0,3.0,0.43652392947103275
IND509324AAA,0.0,0.0880514826347726,0.0004433848648889968,0.20881516109810214,1,1,7,7,7.0,7.0,0.436272040302267
IND632402AAA,0.0,0.08483429129931247,0.0002729258615766162,0.0,1,1,7,11,8.9375,7.0,0.43627204030226696
IND854105AAA,0.000998815247784847,0.08301374621224455,0.00017700277647633478,0.0,1,1,2,2,2.0,2.0,0.43534319899244334
IND457226AAA,0.0,0.0956039655789823,0.00029838134454040035,0.14828563355448926,1,1,11,11,9.875912408759124,3.0,0.43438287153652394
IND176061AAA,0.0010004044526341468,0.09495523136038071,0.00023684363975911497,0.0,1,1,2,1,0.8888888888888888,2.0,0.4333280856423174
IND333028AAA,0.0010004044526341468,0.06971709164319671,0.0002998717258491344,0.06400947934486738,2,1,3,1,0.5,1.75,0.4330447103274559
IND700136AAG,0.0,0.0001959442061318961,0.00012801961214218093,0.0,0,1,0,15,15.0,0.0,0.4329345088161209
IND380006AAB,0.0,0.0833778646607758,0.00012801961214218093,0.0,0,1,0,15,15.0,0.0,0.4329345088161209
IND623503AAA,8.343325458823305e-05,0.002650734606174792,0.0003811722737638577,0.0,1,1,7,7,1.0,2.5,0.4323520151133502
IND415124AAA,7.946024246498386e-07,0.07627842326808335,0.00032021518955794356,0.0,1,1,9,11,2.6052631578947367,7.0,0.43211586901763227
IND761200AAA,0.0,0.07164314905727809,0.0007021304507458494,0.14301773078862612,1,1,7,7,7.0,0.5,0.4320528967254408
IND244301AAA,0.0,0.07892769305762934,0.000429535316042153,0.13997565700109477,1,1,7,8,8.0,3.5,0.4319426952141058
IND147101AAA,0.0,0.09916087443493103,0.0003971321242417686,0.18244960559068743,2,2,8,7,7.0,8.0,0.4318639798488665
IND577132AAD,0.0,0.07066767338340234,0.0005414425657880728,0.20892486164743862,1,1,5,7,6.461538461538462,5.0,0.4295340050377834
IND425401AAA,0.001999219700418994,0.08825076825307851,0.0001474199452925741,0.0,1,1,1,1,0.75,0.5,0.42939231738035266
IND360002AAB,6.356819397198709e-06,0.0012180153697700503,0.0006802751230891839,0.05323675143405663,3,0,4,0,0.0,3.384920634920635,0.4288885390428212
IND273155AAA,0.000999609850209497,0.0777112316295379,0.0003193593586964324,0.0,1,1,3,1,0.6666666666666666,2.571428571428571,0.4287468513853905
IND246174AAA,0.0,0.0010411266619574184,0.000848326269909693,0.13520635166548162,1,1,10,11,4.5,5.555555555555555,0.42844773299748107
IND400064AAB,0.0,0.07294352196325773,0.00012801961214218093,0.0,0,2,0,15,14.142857142857142,0.0,0.4284162468513854
IND487001AAA,1.0329831520447902e-05,0.08205605000080414,0.00020811819288587012,0.0,1,1,1,3,3.0,1.0,0.42818010075566754
IND712406AAA,0.000998815247784847,0.07943760974931686,0.00034868013492625076,0.0,1,1,2,1,1.0,0.6666666666666666,0.42750314861460953
IND396580AAB,0.0,0.0007824419245956634,0.0007439590511766508,0.0,1,1,11,4,3.7333333333333334,10.770833333333332,0.4263224181360202
IND400612AAA,0.0,0.06757519879915992,0.0004215394453177375,0.0,1,1,10,6,6.0,10.0,0.42625944584382874
IND683565AAA,0.0,0.09334978332097309,0.0005089776637455774,0.1305751707545425,1,1,5,9,8.0,1.0,0.42614924433249374
IND444602AAA,0.0,0.07990518863075279,0.00012801961214218093,0.0,0,1,0,14,14.0,0.0,0.4261020151133501
